Year,CO2 emissions from fuel combustion Turkiye,Units
2000,201.216,Mt CO2
2001,182.681,Mt CO2
2002,192.597,Mt CO2
2003,203.138,Mt CO2
2004,207.391,Mt CO2
2005,215.883,Mt CO2
2006,240.243,Mt CO2
2007,266.187,Mt CO2
2008,262.354,Mt CO2
2009,261.267,Mt CO2
2010,267.833,Mt CO2
2011,287.191,Mt CO2
2012,298.427,Mt CO2
2013,285.178,Mt CO2
2014,307.171,Mt CO2
2015,318.973,Mt CO2
2016,338.868,Mt CO2
2017,378.628,Mt CO2
2018,374.701,Mt CO2
2019,366.422,Mt CO2
2020,366.191,Mt CO2
2021,400.788,Mt CO2
2022,389.978,Mt CO2
