total energy supply in Turkiye,Value,Year,Units
Coal,956056,2000, TJ
Coal,789821,2001, TJ
Coal,820271,2002, TJ
Coal,923904,2003, TJ
Coal,930636,2004, TJ
Coal,937372,2005, TJ
Coal,1107920,2006, TJ
Coal,1242552,2007, TJ
Coal,1229267,2008, TJ
Coal,1270602,2009, TJ
Coal,1306773,2010, TJ
Coal,1367528,2011, TJ
Coal,1448801,2012, TJ
Coal,1268027,2013, TJ
Coal,1400336,2014, TJ
Coal,1444647,2015, TJ
Coal,1605419,2016, TJ
Coal,1678426,2017, TJ
Coal,1709595,2018, TJ
Coal,1754373,2019, TJ
Coal,1673880,2020, TJ
Coal,1721196,2021, TJ
Coal,1748627,2022, TJ
Coal,1724272,2023, TJ
Oil,1272932,2000, TJ
Oil,1183573,2001, TJ
Oil,1238609,2002, TJ
Oil,1206328,2003, TJ
Oil,1216039,2004, TJ
Oil,1203485,2005, TJ
Oil,1271981,2006, TJ
Oil,1285469,2007, TJ
Oil,1237352,2008, TJ
Oil,1219073,2009, TJ
Oil,1319048,2010, TJ
Oil,1327768,2011, TJ
Oil,1402832,2012, TJ
Oil,1401059,2013, TJ
Oil,1373251,2014, TJ
Oil,1620128,2015, TJ
Oil,1763071,2016, TJ
Oil,1856197,2017, TJ
Oil,1756140,2018, TJ
Oil,1795555,2019, TJ
Oil,1744318,2020, TJ
Oil,1818227,2021, TJ
Oil,1849653,2022, TJ
Oil,1926220,2023, TJ
Natural gas,529116,2000, TJ
Natural gas,559851,2001, TJ
Natural gas,616942,2002, TJ
Natural gas,741931,2003, TJ
Natural gas,783325,2004, TJ
Natural gas,954246,2005, TJ
Natural gas,1087426,2006, TJ
Natural gas,1273780,2007, TJ
Natural gas,1264096,2008, TJ
Natural gas,1210672,2009, TJ
Natural gas,1314445,2010, TJ
Natural gas,1540262,2011, TJ
Natural gas,1560080,2012, TJ
Natural gas,1572385,2013, TJ
Natural gas,1683283,2014, TJ
Natural gas,1648897,2015, TJ
Natural gas,1601945,2016, TJ
Natural gas,1851924,2017, TJ
Natural gas,1717323,2018, TJ
Natural gas,1550987,2019, TJ
Natural gas,1662755,2020, TJ
Natural gas,2056454,2021, TJ
Natural gas,1759524,2022, TJ
Natural gas,1733710,2023, TJ
Hydro,111164,2000, TJ
Hydro,86436,2001, TJ
Hydro,121258,2002, TJ
Hydro,127188,2003, TJ
Hydro,165902,2004, TJ
Hydro,142419,2005, TJ
Hydro,159278,2006, TJ
Hydro,129063,2007, TJ
Hydro,119772,2008, TJ
Hydro,129448,2009, TJ
Hydro,186465,2010, TJ
Hydro,188416,2011, TJ
Hydro,208314,2012, TJ
Hydro,213911,2013, TJ
Hydro,146321,2014, TJ
Hydro,241725,2015, TJ
Hydro,242031,2016, TJ
Hydro,209586,2017, TJ
Hydro,215778,2018, TJ
Hydro,319761,2019, TJ
Hydro,281139,2020, TJ
Hydro,201336,2021, TJ
Hydro,240488,2022, TJ
Hydro,229823,2023, TJ
Wind, solar, etc.,40487,2000, TJ
Wind, solar, etc.,44955,2001, TJ
Wind, solar, etc.,48480,2002, TJ
Wind, solar, etc.,51405,2003, TJ
Wind, solar, etc.,53559,2004, TJ
Wind, solar, etc.,59805,2005, TJ
Wind, solar, etc.,59651,2006, TJ
Wind, solar, etc.,64506,2007, TJ
Wind, solar, etc.,69895,2008, TJ
Wind, solar, etc.,92637,2009, TJ
Wind, solar, etc.,112781,2010, TJ
Wind, solar, etc.,131415,2011, TJ
Wind, solar, etc.,148783,2012, TJ
Wind, solar, etc.,175559,2013, TJ
Wind, solar, etc.,217414,2014, TJ
Wind, solar, etc.,288590,2015, TJ
Wind, solar, etc.,363456,2016, TJ
Wind, solar, etc.,425796,2017, TJ
Wind, solar, etc.,505240,2018, TJ
Wind, solar, etc.,571769,2019, TJ
Wind, solar, etc.,633139,2020, TJ
Wind, solar, etc.,695869,2021, TJ
Wind, solar, etc.,730918,2022, TJ
Wind, solar, etc.,767286,2023, TJ
Biofuels and waste,272178,2000, TJ
Biofuels and waste,261984,2001, TJ
Biofuels and waste,251442,2002, TJ
Biofuels and waste,241558,2003, TJ
Biofuels and waste,232433,2004, TJ
Biofuels and waste,223363,2005, TJ
Biofuels and waste,216328,2006, TJ
Biofuels and waste,210464,2007, TJ
Biofuels and waste,201431,2008, TJ
Biofuels and waste,194513,2009, TJ
Biofuels and waste,189574,2010, TJ
Biofuels and waste,152071,2011, TJ
Biofuels and waste,153913,2012, TJ
Biofuels and waste,163356,2013, TJ
Biofuels and waste,146890,2014, TJ
Biofuels and waste,134966,2015, TJ
Biofuels and waste,130637,2016, TJ
Biofuels and waste,126949,2017, TJ
Biofuels and waste,135557,2018, TJ
Biofuels and waste,143800,2019, TJ
Biofuels and waste,158349,2020, TJ
Biofuels and waste,188505,2021, TJ
Biofuels and waste,213119,2022, TJ
Biofuels and waste,223077,2023, TJ
